作業檔案名稱,分數
C109156144,88.0
C109156212,85.0
C109156218,98.0
C109179183,93.0
C110156207,96.0
C110156208,72.0
C110156210,93.0
C110156211,67.0
C110156212,99.0
C110156213,94.0
C110156214,96.0
C110156215,91.0
C110156216,73.0
C110156217,90.0
C110156219,92.0
C110156220,83.0
C110156221,69.0
C110156222,58.0
C110156223,72.0
C110156224,67.0
C110156225,99.0
C110156226,69.0
C110156227,69.0
C110156228,88.0
C110156229,73.0
C110156230,91.0
C110156231,95.0
C110156232,94.0
C110156233,72.0
C110156234,73.0
C110156235,86.0
C110156236,93.0
C110156237,93.0
C110156238,95.0
C110156239,99.0
C110156240,90.0
C110156241,98.0
C110156242,93.0
C110156243,93.0
C110156245,87.0
C110156246,70.0
C110156247,98.0
C110156248,87.0
C110156249,90.0
C110156251,67.0
C110156253,98.0
C110156254,92.0
C110156280,97.0
C110156281,87.0
C110156282,94.0
C110156283,91.0
C110181131,93.0
C110181133,86.0
C110181135,94.0
